measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
4,YLLs (Years of Life Lost),67,Japan,3,Both,2,Early Neonatal,302,Diarrheal diseases,1,Number,2011,69.0336743101241,76.18313531150221,58.02841460332036
4,YLLs (Years of Life Lost),67,Japan,3,Both,3,Late Neonatal,302,Diarrheal diseases,1,Number,2011,180.2185605837171,222.943105124962,136.54136462860643
4,YLLs (Years of Life Lost),67,Japan,3,Both,4,Post Neonatal,302,Diarrheal diseases,1,Number,2011,1816.582775626956,2020.018153860007,1601.250103113713
4,YLLs (Years of Life Lost),67,Japan,3,Both,5,1 to 4,302,Diarrheal diseases,1,Number,2011,1985.316769810727,2230.198753072784,1747.7289760350077
4,YLLs (Years of Life Lost),67,Japan,3,Both,2,Early Neonatal,322,Lower respiratory infections,1,Number,2011,531.1975099082313,587.936648733359,448.0270006613442
4,YLLs (Years of Life Lost),67,Japan,3,Both,3,Late Neonatal,322,Lower respiratory infections,1,Number,2011,909.6034238554631,1121.3087288963816,705.2237774394064
4,YLLs (Years of Life Lost),67,Japan,3,Both,4,Post Neonatal,322,Lower respiratory infections,1,Number,2011,7143.425977473757,7858.535630730488,6257.302829959311
4,YLLs (Years of Life Lost),67,Japan,3,Both,5,1 to 4,322,Lower respiratory infections,1,Number,2011,8089.187478778215,9030.118799813605,7208.821508473019
4,YLLs (Years of Life Lost),81,Germany,3,Both,2,Early Neonatal,322,Lower respiratory infections,1,Number,2011,285.86329979214224,365.64481535799695,217.94000877976103
4,YLLs (Years of Life Lost),81,Germany,3,Both,3,Late Neonatal,322,Lower respiratory infections,1,Number,2011,274.43221740061693,366.24530290670583,196.8076990973736
4,YLLs (Years of Life Lost),81,Germany,3,Both,4,Post Neonatal,322,Lower respiratory infections,1,Number,2011,1573.024532716886,2103.9835888596863,1148.0155535412077
4,YLLs (Years of Life Lost),81,Germany,3,Both,5,1 to 4,322,Lower respiratory infections,1,Number,2011,1774.6102467483636,2322.4191313516585,1302.1456792731715
4,YLLs (Years of Life Lost),70,Australasia,3,Both,2,Early Neonatal,302,Diarrheal diseases,1,Number,2011,22.648888786075194,28.361547558381567,18.011513070075942
4,YLLs (Years of Life Lost),70,Australasia,3,Both,3,Late Neonatal,302,Diarrheal diseases,1,Number,2011,53.12029898637543,71.46151456425464,39.13298568926374
4,YLLs (Years of Life Lost),70,Australasia,3,Both,4,Post Neonatal,302,Diarrheal diseases,1,Number,2011,447.7456906343407,592.8259361669468,335.3778267777644
4,YLLs (Years of Life Lost),70,Australasia,3,Both,5,1 to 4,302,Diarrheal diseases,1,Number,2011,262.55586617853334,335.1422551900146,201.7432025265776
4,YLLs (Years of Life Lost),70,Australasia,3,Both,2,Early Neonatal,322,Lower respiratory infections,1,Number,2011,562.8770102430782,657.677278027952,477.8956409662722
4,YLLs (Years of Life Lost),70,Australasia,3,Both,3,Late Neonatal,322,Lower respiratory infections,1,Number,2011,211.71740405622515,267.23396434356783,167.88851515921817
4,YLLs (Years of Life Lost),70,Australasia,3,Both,4,Post Neonatal,322,Lower respiratory infections,1,Number,2011,2449.8824446902227,3025.0559430692356,1987.8512984308054
4,YLLs (Years of Life Lost),70,Australasia,3,Both,5,1 to 4,322,Lower respiratory infections,1,Number,2011,834.8190852852604,1070.3472685740564,639.7919210987277
4,YLLs (Years of Life Lost),73,Western Europe,3,Both,2,Early Neonatal,322,Lower respiratory infections,1,Number,2011,3312.34200256076,3628.5347816597196,2893.733399909728
4,YLLs (Years of Life Lost),73,Western Europe,3,Both,3,Late Neonatal,322,Lower respiratory infections,1,Number,2011,3465.1243157538897,3818.532092126671,3031.5136118633854
4,YLLs (Years of Life Lost),73,Western Europe,3,Both,4,Post Neonatal,322,Lower respiratory infections,1,Number,2011,17436.67692921482,19440.7217327948,15293.961545464865
4,YLLs (Years of Life Lost),73,Western Europe,3,Both,5,1 to 4,322,Lower respiratory infections,1,Number,2011,11192.089002709237,12841.782148258812,9645.31806505564
4,YLLs (Years of Life Lost),77,Cyprus,3,Both,2,Early Neonatal,302,Diarrheal diseases,1,Number,2011,2.628560542699526,3.8485549965545713,1.692263974953292
4,YLLs (Years of Life Lost),77,Cyprus,3,Both,3,Late Neonatal,302,Diarrheal diseases,1,Number,2011,1.8108831866664437,2.5688573371257037,1.1941077708623895
4,YLLs (Years of Life Lost),77,Cyprus,3,Both,4,Post Neonatal,302,Diarrheal diseases,1,Number,2011,4.452054629347112,7.044441655362109,2.728611530032222
4,YLLs (Years of Life Lost),77,Cyprus,3,Both,5,1 to 4,302,Diarrheal diseases,1,Number,2011,1.6643328562791508,2.4968626831275196,1.0356480581015173
4,YLLs (Years of Life Lost),85,Israel,3,Both,2,Early Neonatal,302,Diarrheal diseases,1,Number,2011,15.80941578376946,21.91053840134867,10.756444323570928
4,YLLs (Years of Life Lost),85,Israel,3,Both,3,Late Neonatal,302,Diarrheal diseases,1,Number,2011,51.47899772706033,74.81178116991258,32.792332806809796
4,YLLs (Years of Life Lost),85,Israel,3,Both,4,Post Neonatal,302,Diarrheal diseases,1,Number,2011,364.7225004530886,508.083714814144,252.3665645432474
4,YLLs (Years of Life Lost),85,Israel,3,Both,5,1 to 4,302,Diarrheal diseases,1,Number,2011,167.76042559515568,234.61810701749664,116.89113996019104
4,YLLs (Years of Life Lost),161,Bangladesh,3,Both,2,Early Neonatal,302,Diarrheal diseases,1,Number,2011,6213.317023064177,11309.816333521401,3137.387682724399
4,YLLs (Years of Life Lost),161,Bangladesh,3,Both,3,Late Neonatal,302,Diarrheal diseases,1,Number,2011,15329.9910363032,30489.06710539249,6800.674171413148
4,YLLs (Years of Life Lost),161,Bangladesh,3,Both,4,Post Neonatal,302,Diarrheal diseases,1,Number,2011,193408.80836514255,305530.25808878266,113277.08551302548
4,YLLs (Years of Life Lost),161,Bangladesh,3,Both,5,1 to 4,302,Diarrheal diseases,1,Number,2011,126256.66545155148,203984.5534366393,68429.88115335183
4,YLLs (Years of Life Lost),161,Bangladesh,3,Both,2,Early Neonatal,322,Lower respiratory infections,1,Number,2011,372723.5119503335,561224.9874525486,223100.9370597733
4,YLLs (Years of Life Lost),161,Bangladesh,3,Both,3,Late Neonatal,322,Lower respiratory infections,1,Number,2011,350278.556244166,485683.7692396883,243673.95893181398
4,YLLs (Years of Life Lost),161,Bangladesh,3,Both,4,Post Neonatal,322,Lower respiratory infections,1,Number,2011,1210039.2339899219,1568219.0037044003,897793.6158358377
